sup,conf,Apriori,AprioriPar,FPGrowth
0.01,0.9,81355213016,77979271260,28843338930
0.01,0.9,83117303982,79250775646,28953773168
0.01,0.9,83387190897,79751400569,28875159763
0.01,0.9,83480636143,79552761958,28991953514
0.01,0.9,83549421268,79382482384,28905688803
0.01,0.9,83605769410,79737622808,28888581375
0.01,0.9,83643987370,79603773307,28879231651
0.01,0.9,83687916454,79643239460,29009664109
0.01,0.9,83705950137,79719762565,28892151627
0.01,0.9,83711220695,79891875346,28927440366
0.01,0.9,83725993576,79941113841,28893546114
0.01,0.9,83777860692,79621961719,28878498989
0.01,0.9,83785359672,79432046467,29026145809
0.01,0.9,83930944221,79969755282,28949919887
0.01,0.9,83954377524,79400293946,28943734620
0.01,0.9,83965489788,79947385624,28959164537
0.01,0.9,83986315719,79950602034,28904198503
0.01,0.9,84175237935,78965498216,28897402572
0.01,0.9,84315884470,79078264425,28999552131
0.01,0.9,84386296494,80446487825,28911204411
0.02,0.8,37450836111,34269564407,20777314165
0.02,0.8,38230410494,34181392070,20832942710
0.02,0.8,38233888969,34264106606,20752846454
0.02,0.8,38326775417,34258674377,20791061038
0.02,0.8,38421672135,34346193020,20800799805
0.02,0.8,38429810545,34365082127,20769626637
0.02,0.8,38473357408,34520731966,20813307141
0.02,0.8,38499136145,34521013538,20759893267
0.02,0.8,38543896376,34559307810,20758965640
0.02,0.8,38578419264,34652251952,20768203155
0.02,0.8,38618771260,34541229223,20759300620
0.02,0.8,38641788606,34508713184,20858481414
0.02,0.8,38665181769,34535406987,20860385472
0.02,0.8,38666273915,34576765120,20729719566
0.02,0.8,38714647779,34506641146,20884785477
0.02,0.8,38719395326,34388445372,20813884040
0.02,0.8,38737881161,34512632560,20789052948
0.02,0.8,38743440510,34581032316,20801103984
0.02,0.8,38748874598,34474083628,20736177183
0.02,0.8,39038987033,34758595448,20846826410
0.05,0.5,12391943623,10692154986,11985693751
0.05,0.5,12406229563,10597917100,11926408522
0.05,0.5,12417219486,10758129744,11996766278
0.05,0.5,12448598938,10705128530,12016077979
0.05,0.5,12453515473,10673475504,12002747485
0.05,0.5,12481063791,10712353983,11978904257
0.05,0.5,12484951986,10675061360,12007041684
0.05,0.5,12486598363,10690589422,12007935861
0.05,0.5,12510411483,10635274841,11984834440
0.05,0.5,12532616668,10740509015,11986200342
0.05,0.5,12537035210,10733962782,12015297462
0.05,0.5,12550625522,10704647372,11935533471
0.05,0.5,12560377310,10600605941,11982530362
0.05,0.5,12561090270,10722189723,12029754629
0.05,0.5,12562106553,10632801507,11994331144
0.05,0.5,12565558702,10612750237,12013256625
0.05,0.5,12570281094,10619973798,11977313295
0.05,0.5,12585614810,10631551693,12011353518
0.05,0.5,12585699023,10781467617,11949904936
0.05,0.5,12592234591,10719786214,11989033056
0.1,0.5,5434015007,3747530733,6828430194
0.1,0.5,5448425754,3755270955,6821898695
0.1,0.5,5454760301,3764057021,6820834255
0.1,0.5,5458359451,3781918656,6832036239
0.1,0.5,5464853356,3771960054,6820641486
0.1,0.5,5465289994,3787385219,6831121552
0.1,0.5,5469501706,3754527019,6820252644
0.1,0.5,5470852499,3770906569,6819731636
0.1,0.5,5477876593,3760199707,6814558083
0.1,0.5,5481160357,3791051926,6817062449
0.1,0.5,5482566589,3783590756,6816816946
0.1,0.5,5482998241,3725388299,6896550784
0.1,0.5,5484179258,3767245109,6815997789
0.1,0.5,5484680460,3771070196,6830007821
0.1,0.5,5485863748,3764230705,6823019716
0.1,0.5,5492738466,3741140849,6879064565
0.1,0.5,5497939018,3786078796,6816799141
0.1,0.5,5510260682,3796020814,6824216238
0.1,0.5,5513048496,3775727284,6841673680
0.1,0.5,5521457326,3801314370,6839503670
